笔记名称,笔记链接,发布日期,观看量,评论数,点赞量,分享数,收藏数,直接涨粉数,标签,类别
即将截止！波士顿地区数据科学家线下交流会,https://www.xiaohongshu.com/explore/650d4fef0000000013036767,09/22/2023,1208,10,6,2,7,11,#波士顿生活 #波士顿生活 #波士顿留学 #波士顿大学 #波士顿周末 #波士顿学院 #塔夫茨大学 #美国东北大学 #美国麻省理工大学 #哈佛大学 #数据科学 #数据分析 #北美data求职 #北美求职 #美国求职 #Techlent转行数据科学,线下交流会
正在同步直播！波士顿数据科学家线下交流会,https://www.xiaohongshu.com/explore/650d3b920000000013028d33,09/23/2023,646,0,0,1,0,0,#波士顿生活 #波士顿留学 #波士頓 #波士顿大学 #留学美国 #美国求职 #塔夫茨大学 #波士顿学院 #美国华人 #博士 #硕士 #北美data求职 #数据科学 #数据分析 #数据分析求职 #Techlent转行数据科学,直播通知
英国的数据科学求职市场环境如何？,https://www.xiaohongshu.com/explore/65113c54000000001302a278,09/25/2023,705,0,1,1,1,0,#英国求职 #英国留学生 #英国数据科学 #英国硕士 #data求职 #数据科学 #Techlent转行数据科学,干货分享
5年生物博士后5个月拿到4个数据科学家offer,https://www.xiaohongshu.com/explore/65151f23000000002202b9de,09/28/2023,1062,0,5,6,6,7,#数据科学 #北美data求职 #博士 #生物博士 #北美找工作 #北美求职 #Techlent转行数据科学,经验分享直播预告
跨专业转 DS 如何申请 OPT？,https://www.xiaohongshu.com/explore/6514f3ea000000001c014d47,09/29/2023,531,0,0,0,0,0,#北美data求职 #opt #美国Opt #OPT #求职季 #转data #北美转data #北美找工作 #北美DS求职 #Techlent转行数据科学,经验分享
5年生物博士后5个月拿到4个数据科学家offer,https://www.xiaohongshu.com/explore/65151fc6000000001a0150a3,10/01/2023,738,0,2,0,1,1,#数据科学 #北美data求职 #offer #博士 #北美博士 #生物博士 #ds #Techlent转行数据科学,直播通知
食品博士到英国保险公司 DS 如何零基础上岸,https://www.xiaohongshu.com/explore/6514f7260000000023019758,10/03/2023,483,0,1,0,1,0,#英国求职 #英国留学 #英国工作 #英国找工作 #博士后 #英国数据科学 #英国data求职 #Techlent转行数据科学,经验分享
数据科学岗位有哪些？怎么选适合自己的？,https://www.xiaohongshu.com/explore/65151621000000001a023dbe,10/04/2023,787,0,2,0,4,0,#数据科学 #北美data求职 #DataScientist #dataanalyst #dataengineer #machinelearning #mle #Techlent转行数据科学,干货分享
冲刺24年春招！今年最后一期DS训练营！,https://www.xiaohongshu.com/explore/6523b3ac000000002301b40b,10/09/2023,772,0,2,2,3,0,#数据科学 #北美data求职 #春招 #北美求职 #求职季 #coding #Bootcamp #DS #Techlent转行数据科学,课程宣传
教育统计学应届博士生如何成为银行业 DS,https://www.xiaohongshu.com/explore/6524f39200000000220288a8,10/10/2023,703,0,6,2,3,4,#应届生工作 #博士 #北美data求职 #数据科学 #北美博士 #博士转行 #银行工作 #教育统计学 #应届博士 #应届博士找工作 #Techlent转行数据科学,经验分享直播预告
